lambda sigmaxx
1.064499 -0.0193609494701768
1.064599 0.0128164468479534
1.064699 0.0197419982414016
1.064799 0.0111624602903043
1.064899 0.0144364828321228
1.064999 -0.00945353088775243
1.065099 -0.00753201423500986
1.065199 0.0201920124266757
1.065299 -0.00893501514545913
1.065399 0.00828390982701419
1.065499 -0.015744506422167
1.065599 0.00903400259915141
1.065699 0.000704889615870254
1.065799 0.00440199360582931
1.065899 0.0126794243190461
1.065999 -0.00531258739332113
1.066099 -0.0231023693549098
1.066199 -0.0177542132967714
1.066299 -0.00972293442673079
1.066399 0.0153080162565504
1.066499 0.0234823792567655
1.066599 0.0399607468490729
1.066699 0.0169500414778801
1.066799 -0.00683334439732846
1.066899 -0.00276578681295395
1.066999 -0.0584237260338509
1.067099 -0.0187121409113899
1.067199 0.00165130571384076
1.067299 0.00128092935231145
1.067399 0.00293249563433036
1.067499 0.00495226139403485
1.067599 0.0143320488787394
1.067699 -0.0439633748093674
1.067799 -0.00021576039573323
1.067899 0.00637401331433453
1.067999 -0.0211817506389019
1.068099 0.000269179149660117
1.068199 -0.00947334327611933
1.068299 0.0257272894276385
1.068399 0.0342442438258823
1.068499 -0.0136864150780305
1.068599 0.0239042101869176
1.068699 -0.00459423312730908
1.068799 0.0214412326196209
1.068899 -0.0131810534540909
1.068999 0.00433113971114278
1.069099 -0.0107895069231799
1.069199 -0.0116497270784317
1.069299 0.00981539940838557
1.069399 0.000911954070980127
1.069499 -0.00338521028779146
1.069599 0.00342796273866578
1.069699 0.00440268349860325
1.069799 -0.0206806337301541
1.069899 0.0159932906399288
1.069999 -0.00635926704343194
1.070099 -0.000271517130969533
1.070199 -0.00467972037298741
